signal,lookback_days,sharpe,turnover_percent,fitness,returns_percent,drawdown_percent,margin_bps
price_reversal,3,2.10,44.79,1.10,12.24,4.16,5.47
price_reversal,5,1.60,34.79,0.82,9.22,4.51,5.30
price_reversal,10,1.50,22.17,0.92,8.32,3.58,7.50
